method,task,budget,n,aubc_mean,aubc_std,hv_final_mean,hv_final_std,pareto_size_mean,pareto_size_std,valid_yield_per_100_calls_mean,valid_yield_per_100_calls_std,invalid_null_proxy_rate_mean,invalid_null_proxy_rate_std,recorded_null_rate_mean,recorded_null_rate_std,valid_count_mean,valid_count_std,null_score_count_mean,null_score_count_std,sample_count_mean,sample_count_std
full,bi_tsp,25,5,12428.342497742873,636.4237817093339,14717.520849463262,438.00914685870936,4.0,0.0,26.400000000000002,6.066300355241241,0.6878787878787879,0.07517400465457659,0.0,0.0,6.6,1.51657508881031,0.0,0.0,6.6,1.51657508881031
full,bi_tsp,50,5,12931.550050176418,165.45413104349228,14810.352873583684,336.99459890902835,6.0,0.0,23.2,4.381780460041329,0.7374747474747475,0.05023336013407989,0.0,0.0,11.6,2.1908902300206643,0.0,0.0,11.6,2.1908902300206643
full,bi_tsp,100,5,14030.133982536267,156.7435685860782,15023.614726933849,75.38987620016667,8.0,0.0,22.6,7.765307463326871,0.7488888888888889,0.08628119403696523,0.0,0.0,22.6,7.765307463326871,0.0,0.0,22.6,7.765307463326871
full,bi_tsp,200,5,14331.861838455112,273.2295610324218,15198.499615385379,106.08712765613488,10.0,0.0,24.8,15.118697033805525,0.7289617486338797,0.1652316615716451,0.0,0.0,49.6,30.237394067611053,0.0,0.0,49.6,30.237394067611053
full,tri_tsp,25,5,144450.15885480464,17270.51375100898,206791.18680863173,1038.879517668942,6.0,0.0,27.200000000000003,3.3466401061363027,0.7065217391304348,0.03919077473330422,0.0,0.0,6.8,0.8366600265340756,0.0,0.0,6.8,0.8366600265340756
full,tri_tsp,50,5,160956.9230416061,11510.529510863978,207540.11827129213,771.9627445061875,8.0,0.0,18.4,2.1908902300206643,0.8024051803885291,0.025265150379682296,0.0,0.0,9.2,1.0954451150103321,0.0,0.0,9.2,1.0954451150103321
full,tri_tsp,100,5,179784.92002361311,8760.244339776636,207927.80985654087,607.0182332301601,10.0,0.0,14.8,2.3874672772626644,0.8403633632737509,0.02682939493605954,0.0,0.0,14.8,2.3874672772626644,0.0,0.0,14.8,2.3874672772626644
full,tri_tsp,200,5,188432.1466497327,4382.009869722449,207635.00967666012,464.7404610890621,12.0,0.0,11.0,1.6583123951777,0.8824711240957355,0.01771917320224781,0.0,0.0,22.0,3.3166247903554,0.0,0.0,22.0,3.3166247903554
full,bi_cvrp,25,5,13399.392458098759,3885.414059760705,18864.473998623725,2980.5222424311787,4.0,0.0,16.8,1.7888543819998317,0.8153961980048937,0.020980625493261514,0.0,0.0,4.2,0.4472135954999579,0.0,0.0,4.2,0.4472135954999579
full,bi_cvrp,50,5,13893.797438292268,796.9257685129528,17669.63358871531,1361.8904340130712,6.0,0.0,15.200000000000001,1.0954451150103313,0.8331399097356544,0.014170746741744665,0.0,0.0,7.6,0.5477225575051661,0.0,0.0,7.6,0.5477225575051661
full,bi_cvrp,100,5,14713.253548041008,603.1988190403579,18874.829633509045,1898.9203043510752,8.0,0.0,12.0,3.1622776601683795,0.8694645233214658,0.034833647046821355,0.0,0.0,12.0,3.1622776601683795,0.0,0.0,12.0,3.1622776601683795
full,bi_cvrp,200,5,15707.164092901405,874.49062431015,19571.232765715155,2931.435115857008,10.0,0.0,9.1,2.5836021365527624,0.9013622177577297,0.02822957285350806,0.0,0.0,18.2,5.167204273105526,0.0,0.0,18.2,5.167204273105526
full,bi_kp,25,5,23304.445221531994,12812.953296657708,28805.20819393613,9574.928709328067,4.0,0.0,19.2,3.3466401061363023,0.7740259740259741,0.035355007773325405,0.0,0.0,4.8,0.8366600265340756,0.0,0.0,4.8,0.8366600265340756
